Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
27-May-20,EQ,426.50,434.95,415.00,429.15,430.95,432.50,424.82,683.00,245.40,7591378,"3,224,974,944.90",101268
26-May-20,EQ,427.00,435.20,421.65,426.35,426.90,429.15,429.31,683.00,245.40,5895379,"2,530,969,865.90",86808
22-May-20,EQ,404.00,430.35,398.70,408.30,426.40,426.35,416.73,683.00,245.40,10016213,"4,174,083,371.80",110726
21-May-20,EQ,400.15,412.20,397.80,405.05,406.60,408.30,406.56,683.00,245.40,6249310,"2,540,707,186.15",78139
20-May-20,EQ,382.90,413.70,379.70,382.90,404.75,405.05,398.60,683.00,245.40,10608571,"4,228,545,729.25",139807
19-May-20,EQ,384.00,391.00,371.20,377.20,383.00,382.90,385.05,683.00,245.40,5950063,"2,291,098,502.30",74801
18-May-20,EQ,382.10,383.50,367.25,381.30,375.00,377.20,375.42,683.00,245.40,7717690,"2,897,357,368.20",87264
15-May-20,EQ,402.75,403.95,373.20,400.45,381.85,381.30,382.93,683.00,245.40,14226558,"5,447,830,513.70",195610
14-May-20,EQ,401.50,407.50,396.00,413.05,402.50,400.45,400.92,683.00,245.40,4766174,"1,910,842,733.30",79776
13-May-20,EQ,415.00,418.90,404.25,393.05,410.00,413.05,411.46,683.00,245.40,7362761,"3,029,507,381.15",137227
12-May-20,EQ,388.90,395.20,380.20,390.10,394.25,393.05,386.43,683.00,245.40,4686856,"1,811,143,796.15",88743
11-May-20,EQ,388.50,402.00,384.35,386.70,387.90,390.10,393.43,683.00,245.40,7658641,"3,013,125,423.00",161111
8-May-20,EQ,405.00,407.90,380.70,400.65,386.00,386.70,390.69,683.00,245.40,9445656,"3,690,306,611.35",127252
7-May-20,EQ,387.50,403.45,385.10,387.15,401.40,400.65,396.10,683.00,245.40,12971502,"5,138,017,281.05",190114
6-May-20,EQ,371.50,393.00,358.25,368.15,388.00,387.15,376.58,683.00,245.40,7015474,"2,641,893,581.40",148753
